English,Manx,,,,,,
TYNWALD COURT,,,,,,,
"ST JOHN’S 5th July, 1916.",,,,,,,
ABSTRACTS,,,,,,,
OF ACTS FOR PROMULGATION,,,,,,,
"Printed by Authority by Brown & Sons, Limited, “Times” Buildings, Douglas.",,,,,,,
ABSTRACTS OF ACTS OF TYNWALD,,,,,,,
"1.—THE ACTS OF TYNWALD (EMERGENCY PROMULGATION) ACT, 1916. ","YN SLATTYS (SOILSHAGHEY-MAGH SLATTYSYN ER-LHEH), NUY CHEEAD YEIG AS SHEY-JEIG. ",,,,,,
"The object and purport ot this Act are to expedite, in certain cases, the operation of Acts of Tynwald.",Ta’n aigney as y chooish jeh’n Slattys shoh dy chur ayns bree Slattysyn er-lheh roish yn traa.,,,,,,
"2.—THE BREWERS ACT AMENDMENT ACT, 1915. ","YN SLATTYS IMLERYN (LHIASAGHEY), NUY, CHEEAD YEIG AS QUEIG-JEIG. ",,,,,,
The object and purport of this Act are to increase the duty payable on beer.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo ny smoo yn taill dy ve eeckit er lune.,,,,,,
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckingham Palace on the 23rd day of May, 1916.","Va’n coardail Reeoil currit gys ny Lattysyn roie soit magh liorish E Ard Ooashley ayns Counceil ec yn Plaase Buckingham er yn three as feedoo laa jeh’n wheigoo vee, nuy cheead yeig as shey-jeig.",,,,,,
,,,,,,,
"3.— THE WAR EMERGENCY (RELIEF OF RATE) ACT, 1916.","YN SLATTYS ER-LHEH CAGGEY (LIVREY KEESHYN VALLEY), NUY CHEEAD YEIG AS SHEY-JEIG. ",,,,,,
The object and purport of this Act are to make provision for aid in relief of rates.,Ta’n aigney as y chooish jeh’n Slattys shoh dy yannoo kiarail son cooney dy eeck keeshyn-valley.,,,,,,
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckingham Palace on the 10th day of May, 1916.","Va’n coardail Reeoil currit gys ny Lattysyn roie soit magh liorish E Ard Ooashley ayns Counceil ec yn Plaase Buckingham er yn jeihoo laa jeh’n wheigoo vee, nuy cheead yeig as shey-jeig.",,,,,,
"4.— THE DOUGLAS GRAMMAR SCHOOL ACT, 1916.",YN SLATTYS SCHOILL GLAREYDAGH GHOOLISH NUY CHEEAD YEIG AS SHEY-JEIG.,,,,,,
The object and purport of this Act are to refound the Douglas Grammar School and to amalgamate such School with the Douglas (Dalton Street) Grammar School.,Ta’n aigney as y chooish jeh’n Slattys shoh dy aa-chouyral yn Schoill Glareydagh Ghoolish as dy cho-chiangley lheid yn Schoill marish yn Schoill Glareydagh Ghoolish (Straid Dalton).,,,,,,
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckingham Palace on the 19th day of April, 1916.","Va’n coardail Reeoil currit gys ny Lattysyn roie soit magh liorish E Ard Ooashley ayns Counceil ec yn Plaase Buckingham er yn nuy-jeigoo laa jeh’n chiaroo vee, nuy cheead yeig as shey-jeig.",,,,,,
"5.—THE DOUGLAS CORPORATION (PULROSE ESTATE) ACT, 1915.","5. YN SLATTYS CO-CHORP GHOOLISH (THALLOO PULROSE), NUY CHEEAD YEIG AS QUEIG-JEIG.",,,,,,
"The object and purport of this Act are to authorize the Douglas Corporation to acquire the Pulrose Estate, in the Parish of Braddan, and to borrow money for such purpose.",Ta’n aigney as y chooish jeh’n Slattys shoh dy chur kied da’n C0-Chorp Ghoolish dy chionnagh yn Thalloo Pulrose ayns Skeerey Skeel-y-Vraddan as dy yeeasaghey argid son yn oyr shen.,,,,,,
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckingham Palace on the 14th day of October, 1916.","Va’n coardail Reeoil currit gys ny Lattysyn roie soit magh liorish E Ard Ooashley ayns Counceil ec yn Plaase Buckingham er yn kiare-jeigoo laa jeh’n jeihoo vee, nuy cheead yeig as queig-jeig.",,,,,,
"6.—THE BISHOP BARROW'S CHARITY ACT, 1916.","YN SLATTYS GIASTALLYS ASPICK BARROW, NUY CHEEAD YEIG AS QUEIG-JEIG [SIC].",,,,,,
"The object and purport of this Act, are to confirm an agreement dated the 7th day of July, 1914, and made between Bishop Barrow's Trustees and Noble’s Trustees, and to confer upon Bishop Barrow’s Trustees the necessary powers to carry the same into effect.",Ta’n aigney as y chooish jeh’n Slattys shoh dy hickyraghey yn bargane jeant er y chiaghtoo laa jeh’n ee ncy cheead yeig as kiare-ieig eddyr ny Firhreishtee Aspick Barrow as ny Fir-hreishtee Noble as dy chur da ny Fir-hreishtee Barrow ny pooaraghyn ymmyrchagh dy chur lesh eh ayns bree.,,,,,,
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckingham Palace on the 10th day of May, 1916.",Va’n coardail Reeoil currit gys yn Slattys shoh liorish E Ard Ooashley ayns Coonoeil ec yn Plaase Buckingham er yn jeihoo laa jeh’n wheigoo vee. nuy cheead yeig as shey-jeig.,,,,,,
"7.—THE ISLE OF MAN HOMES FOR ORPHAN AND DESTITUTE CHILDREN ACT, 1915.",YN SLATTYS THIEYN SON PAITCHYN GYN AYR NY MOIR AS FEMOIL ELLAN VANNIN. NUY CHEEAD YEIG AS QUEIG-JEIG.,,,,,,
"The object and purport of this Act are to incorporate the Trustees of the Isle of Man Home for Orphan., and Destitute Children, to confer certain powers and authority on the said Trustees, and to make provision for other matters in connection with such Home.","Ta’n aigney as y chooish. jeh'n Slattys shoh dy yannoo Co-Chorp ny Fir-hreishtee yn Thie son Paitishyn gyn Ayr ny Moir as Femoil Ellan Vannin as dy chur pooaraghyn as niart er-lheh da ny Fir-hreishtee shen, as dy yannoo kiarail son oyryn elley bentyn rish yn Thie shen.",,,,,,
"8.—THE HERRING FISHERY (BRANDING) ACT, 1916.","YN SLATTYS EEASTAGH SKEDDAN (COWRAGHEY), NUY CHEEAD YEIG AS SHEY-JEIG.",,,,,,
The object and purport of this Act are to provide for the branding of barrels filled with cured herrings in the Isle of Man.,Ta’n aigney as y chooish jeh’n Slattys shoh dy chaorail son cowraghey stoandaghyn lhieent lish skeddan sailjit ayns Ellan Vannin.,,,,,,
"The Royal Assent to the foregoing Acts 'was' given by His Majesty in Council at the Court at Buckingham Palace on the 23rd day of May, 1916.","Va’n coardail Reeoil currit gys ny Lattysyn roie soit magh liorish E And Ooashley ayns Counceil er yn Plaase Buckingham er yn three as feedoo laa jeh’n wheigoo vee, nuy cheead yeig as shey-jeig.",,,,,,
,,,,,,,
"9.—THE LORD'S RENTS PURCHASE (AMENDMENT) ACT, 1916. ","YN SLATTYS KIONNAGHEY YN MAYLL CHIARN (LHIASAGHEY), NUY CHEEAD YEIG AS SHEY-JEIG.",,,,,,
"The object and purport of .this Act are to empower the board to order the redemption of ali unredeemed Lord's rents, whenever two thirds in the aggregate of the Lord’s rents of the whole Island have been redeemed. ",Ta’n aigney as y chooish jeh’n Slattys shoh dy chur pooar da’n Voayrd dy goardirail ooilley ny mayllyn Chiarn dy ve kionnit. cha leah as ta daa ayrn jeh’n mayll jeh’n slane Ellan er ve chionnit.,,,,,,
,,,,,,,
"10.—The Murrey Scholarships Act, 1916.","Yn Slattys Leaghyn-Ynsagh Murrey, Nuy Cheead Yeig as Shey-Jeig.",,,,,,
"The object and purport of this Act are to refound the Scholarships created by the will of William Murrey, late of the town of Douglask merchant, deceased.",Ta’n aigney as y chooish jeh’n Slattys sihoh dy aa-choural ny leaghyn-ynsagh faagit liorish chymney Illiam Murrey va roie fer-vargee jeh’n Valley Ghoolish.,,,,,,
,,,,,,,
"11.—THE PUBLIC AUTHORITIES' POWERS ACT, 1915.","YN SLATTYS POOARAGHYN FIR-OIK Y'N THEAY, NUY CHEEAD YEIG AS QUEIG-JEIG.",,,,,,
The object and purport of this Act are to enable public authorities to suspend payments' to sinking funds for a limited period.,Ta'n aigney as y chooish jeh'n Slattys shoh dy chur pooar da Fir-Oik yn Theay dy scuirr son tammylt dy leodaghey eeaseeyn.,,,,,,
,,,,,,,
"The Royal Assent to the foregoing Act was given by His Majesty in Council at the Court at Buckinaliam Palace on the 27th day of June, 1916.","Va’n coardail Reeoil currit gys ny Lattysyn roie soit magh liorish E Ard Ooashley ayns Counceil ec yn Plaase Buckingham er yn chiaght as feedoo laa jeh’n cheyoo vee, nuy cheead yeig as shey-jeig.",,,,,,
,,,,,,,